index,difficulty,time,user_key,user_idx,model,tau,text,cefr,years,frequency
0,0.25,240.922431,qsmwdxpl,2,sel,0.1,crime_and_punishment_1,C2,20,daily
1,0.55,195.614336,qsmwdxpl,2,size,0.9,beyond_good_and_evil_1,C2,20,daily
2,0.4,121.88484,qsmwdxpl,2,gpt4,0.1,emma_1,C2,20,daily
3,0.30000000000000004,142.694761,qsmwdxpl,2,mip,0.9,pride_and_prejudice_2,C2,20,daily
4,0.19999999999999996,181.747171,gshdefjk,5,size,0.1,beyond_good_and_evil_1,C1,0,never
5,0.35,299.286317,gshdefjk,5,sel,0.9,crime_and_punishment_1,C1,0,never
6,0.35,192.672358,gshdefjk,5,mip,0.9,emma_1,C1,0,never
7,0.44999999999999996,272.414679,gshdefjk,5,gpt4,0.1,pride_and_prejudice_2,C1,0,never
8,0.5,711.815397,vcrofjdu,6,sel,0.9,beyond_good_and_evil_1,C2,19,daily
9,0.050000000000000044,134.252247,vcrofjdu,6,size,0.1,crime_and_punishment_1,C2,19,daily
10,0.15000000000000002,265.085287,vcrofjdu,6,gpt4,0.9,emma_1,C2,19,daily
11,0.0,96.534582,vcrofjdu,6,mip,0.1,pride_and_prejudice_2,C2,19,daily
12,0.050000000000000044,288.539964,pzboacqr,8,mip,0.9,beyond_good_and_evil_1,C1,6,daily
13,0.050000000000000044,390.203027,pzboacqr,8,gpt4,0.1,crime_and_punishment_1,C1,6,daily
14,0.09999999999999998,201.15175,pzboacqr,8,size,0.9,pride_and_prejudice_2,C1,6,daily
15,0.0,102.16171800000001,pzboacqr,8,sel,0.1,emma_1,C1,6,daily
16,0.35,145.098197,mzcigsrk,10,gpt4,0.9,beyond_good_and_evil_1,C1,15,never
17,0.19999999999999996,159.254766,mzcigsrk,10,mip,0.1,crime_and_punishment_1,C1,15,never
18,0.35,264.631341,mzcigsrk,10,size,0.9,emma_1,C1,15,never
19,0.09999999999999998,91.993115,mzcigsrk,10,sel,0.1,pride_and_prejudice_2,C1,15,never
20,0.25,286.391613,ndtueyxi,11,gpt4,0.1,beyond_good_and_evil_1,C2,10,daily
21,0.19999999999999996,285.801892,ndtueyxi,11,size,0.9,crime_and_punishment_1,C2,10,daily
22,0.09999999999999998,108.4812,ndtueyxi,11,mip,0.1,emma_1,C2,10,daily
23,0.15000000000000002,153.291751,ndtueyxi,11,sel,0.9,pride_and_prejudice_2,C2,10,daily
24,0.19999999999999996,218.065269,cdgmfunt,12,sel,0.1,crime_and_punishment_1,C2,9,daily
25,0.35,220.180858,cdgmfunt,12,size,0.9,beyond_good_and_evil_1,C2,9,daily
26,0.4,258.420997,cdgmfunt,12,gpt4,0.1,emma_1,C2,9,daily
27,0.15000000000000002,132.693539,cdgmfunt,12,mip,0.9,pride_and_prejudice_2,C2,9,daily
28,0.0,302.944495,ekxumjgp,14,sel,0.9,beyond_good_and_evil_1,C2,10,weekly
29,0.09999999999999998,204.993026,ekxumjgp,14,size,0.1,crime_and_punishment_1,C2,10,weekly
30,0.050000000000000044,221.487798,ekxumjgp,14,gpt4,0.9,emma_1,C2,10,weekly
31,0.0,132.436952,ekxumjgp,14,mip,0.1,pride_and_prejudice_2,C2,10,weekly
32,0.30000000000000004,146.209454,xjkgicou,15,sel,0.1,beyond_good_and_evil_1,B2,5,daily
33,0.35,170.70011,xjkgicou,15,mip,0.9,crime_and_punishment_1,B2,5,daily
34,0.25,192.934108,xjkgicou,15,size,0.1,emma_1,B2,5,daily
35,0.09999999999999998,208.53519,xjkgicou,15,gpt4,0.9,pride_and_prejudice_2,B2,5,daily
36,0.15000000000000002,196.74416300000001,zbfayhmk,16,mip,0.9,beyond_good_and_evil_1,C1,18,daily
37,0.6,209.595589,zbfayhmk,16,gpt4,0.1,crime_and_punishment_1,C1,18,daily
38,0.25,190.878937,zbfayhmk,16,sel,0.1,emma_1,C1,18,daily
39,0.30000000000000004,192.731379,zbfayhmk,16,size,0.9,pride_and_prejudice_2,C1,18,daily
40,0.35,199.492459,xolyrfsh,17,mip,0.1,beyond_good_and_evil_1,C2,10,daily
41,0.6,252.188927,xolyrfsh,17,gpt4,0.9,crime_and_punishment_1,C2,10,daily
42,0.35,296.672141,xolyrfsh,17,sel,0.9,emma_1,C2,10,daily
43,0.0,49.888106,xolyrfsh,17,size,0.1,pride_and_prejudice_2,C2,10,daily
44,0.19999999999999996,766.167138,zmnbfyai,18,gpt4,0.9,beyond_good_and_evil_1,C1,9,daily
45,0.0,59.537438,zmnbfyai,18,mip,0.1,crime_and_punishment_1,C1,9,daily
46,0.19999999999999996,826.646604,zmnbfyai,18,size,0.9,emma_1,C1,9,daily
47,0.050000000000000044,143.005435,zmnbfyai,18,sel,0.1,pride_and_prejudice_2,C1,9,daily
48,0.35,162.355591,mgkasirc,19,gpt4,0.1,beyond_good_and_evil_1,C2,11,weekly
49,0.35,138.623914,mgkasirc,19,size,0.9,crime_and_punishment_1,C2,11,weekly
50,0.09999999999999998,100.272532,mgkasirc,19,mip,0.1,emma_1,C2,11,weekly
51,0.15000000000000002,159.85694999999998,mgkasirc,19,sel,0.9,pride_and_prejudice_2,C2,11,weekly
52,0.15000000000000002,120.58499,oqaskmtu,21,size,0.1,beyond_good_and_evil_1,C2,20,daily
53,0.050000000000000044,190.286804,oqaskmtu,21,sel,0.9,crime_and_punishment_1,C2,20,daily
54,0.25,182.120809,oqaskmtu,21,mip,0.9,emma_1,C2,20,daily
55,0.35,272.292022,oqaskmtu,21,gpt4,0.1,pride_and_prejudice_2,C2,20,daily
56,0.55,435.209643,eblhrazt,22,sel,0.9,beyond_good_and_evil_1,C1,8,daily
57,0.15000000000000002,159.033291,eblhrazt,22,size,0.1,crime_and_punishment_1,C1,8,daily
58,0.30000000000000004,363.979595,eblhrazt,22,gpt4,0.9,emma_1,C1,8,daily
59,0.19999999999999996,211.257061,eblhrazt,22,mip,0.1,pride_and_prejudice_2,C1,8,daily
60,0.4,543.050562,rkqbwxvo,23,sel,0.1,beyond_good_and_evil_1,C1,15,weekly
61,0.44999999999999996,498.442385,rkqbwxvo,23,mip,0.9,crime_and_punishment_1,C1,15,weekly
62,0.4,450.880464,rkqbwxvo,23,size,0.1,emma_1,C1,15,weekly
63,0.6,403.87333,rkqbwxvo,23,gpt4,0.9,pride_and_prejudice_2,C1,15,weekly
64,0.25,128.663311,ixynupos,24,mip,0.9,beyond_good_and_evil_1,B1,0,daily
65,0.55,109.071118,ixynupos,24,gpt4,0.1,crime_and_punishment_1,B1,0,daily
66,0.44999999999999996,106.754915,ixynupos,24,sel,0.1,emma_1,B1,0,daily
67,0.35,86.56257,ixynupos,24,size,0.9,pride_and_prejudice_2,B1,0,daily
68,0.35,193.398204,ctepkdqi,26,gpt4,0.9,beyond_good_and_evil_1,C2,9,weekly
69,0.050000000000000044,51.739303,ctepkdqi,26,mip,0.1,crime_and_punishment_1,C2,9,weekly
70,0.19999999999999996,180.598617,ctepkdqi,26,size,0.9,emma_1,C2,9,weekly
71,0.050000000000000044,122.067036,ctepkdqi,26,sel,0.1,pride_and_prejudice_2,C2,9,weekly
72,0.19999999999999996,904.099984,yesjnbgc,27,gpt4,0.1,beyond_good_and_evil_1,C1,8,daily
73,0.19999999999999996,333.651659,yesjnbgc,27,size,0.9,crime_and_punishment_1,C1,8,daily
74,0.15000000000000002,319.73253,yesjnbgc,27,mip,0.1,emma_1,C1,8,daily
75,0.5,510.674374,yesjnbgc,27,sel,0.9,pride_and_prejudice_2,C1,8,daily
76,0.4,86.887722,rmbutdcw,28,sel,0.1,crime_and_punishment_1,B2,4,daily
77,0.30000000000000004,192.639796,rmbutdcw,28,size,0.9,beyond_good_and_evil_1,B2,4,daily
78,0.4,200.99401699999999,rmbutdcw,28,gpt4,0.1,emma_1,B2,4,daily
79,0.15000000000000002,149.941717,rmbutdcw,28,mip,0.9,pride_and_prejudice_2,B2,4,daily
80,0.0,280.196424,tmvegfol,29,size,0.1,beyond_good_and_evil_1,B2,14,daily
81,0.09999999999999998,384.989498,tmvegfol,29,sel,0.9,crime_and_punishment_1,B2,14,daily
82,0.35,303.858544,tmvegfol,29,mip,0.9,emma_1,B2,14,daily
83,0.30000000000000004,359.55885,tmvegfol,29,gpt4,0.1,pride_and_prejudice_2,B2,14,daily
84,0.19999999999999996,539.85392,prvlutai,30,sel,0.9,beyond_good_and_evil_1,B2,9,never
85,0.050000000000000044,316.098848,prvlutai,30,size,0.1,crime_and_punishment_1,B2,9,never
86,0.050000000000000044,431.109522,prvlutai,30,gpt4,0.9,emma_1,B2,9,never
87,0.050000000000000044,180.286897,prvlutai,30,mip,0.1,pride_and_prejudice_2,B2,9,never
88,0.050000000000000044,166.16961,udwqpael,32,mip,0.9,beyond_good_and_evil_1,C2,25,daily
89,0.19999999999999996,311.108753,udwqpael,32,gpt4,0.1,crime_and_punishment_1,C2,25,daily
90,0.15000000000000002,228.777781,udwqpael,32,sel,0.1,emma_1,C2,25,daily
91,0.19999999999999996,251.924877,udwqpael,32,size,0.9,pride_and_prejudice_2,C2,25,daily
92,0.15000000000000002,232.973302,ntcubxfp,33,mip,0.1,beyond_good_and_evil_1,B2,10,daily
93,0.5,349.523902,ntcubxfp,33,gpt4,0.9,crime_and_punishment_1,B2,10,daily
94,0.35,363.033206,ntcubxfp,33,sel,0.9,emma_1,B2,10,daily
95,0.09999999999999998,89.145391,ntcubxfp,33,size,0.1,pride_and_prejudice_2,B2,10,daily
96,0.25,173.57057600000002,mivpflke,34,mip,0.1,beyond_good_and_evil_1,B2,8,daily
97,0.5,244.035066,mivpflke,34,gpt4,0.9,crime_and_punishment_1,B2,8,daily
98,0.5,233.798905,mivpflke,34,sel,0.9,emma_1,B2,8,daily
99,0.09999999999999998,74.043042,mivpflke,34,size,0.1,pride_and_prejudice_2,B2,8,daily
100,0.19999999999999996,87.180037,ckjgqepx,36,mip,0.1,beyond_good_and_evil_1,C1,11,monthly
101,0.35,1369.0073668397467,ckjgqepx,36,gpt4,0.9,crime_and_punishment_1,C1,11,monthly
102,0.5,247.322147,ckjgqepx,36,sel,0.9,emma_1,C1,11,monthly
103,0.050000000000000044,41.606932,ckjgqepx,36,size,0.1,pride_and_prejudice_2,C1,11,monthly
104,0.15000000000000002,203.797143,xpmksjrt,37,gpt4,0.9,beyond_good_and_evil_1,C2,10,daily
105,0.0,74.61619,xpmksjrt,37,mip,0.1,crime_and_punishment_1,C2,10,daily
106,0.25,192.209182,xpmksjrt,37,size,0.9,emma_1,C2,10,daily
107,0.050000000000000044,159.689222,xpmksjrt,37,sel,0.1,pride_and_prejudice_2,C2,10,daily
108,0.6,382.404326,korvypqs,38,gpt4,0.1,beyond_good_and_evil_1,B1,10,daily
109,0.5,506.110194,korvypqs,38,size,0.9,crime_and_punishment_1,B1,10,daily
110,0.4,348.985946,korvypqs,38,mip,0.1,emma_1,B1,10,daily
111,0.65,376.069528,korvypqs,38,sel,0.9,pride_and_prejudice_2,B1,10,daily
112,0.44999999999999996,134.096366,pkqsbrux,40,sel,0.1,crime_and_punishment_1,B2,7,monthly
113,0.5,166.52007600000002,pkqsbrux,40,size,0.9,beyond_good_and_evil_1,B2,7,monthly
114,0.35,224.06613099999998,pkqsbrux,40,gpt4,0.1,emma_1,B2,7,monthly
115,0.35,200.54374,pkqsbrux,40,mip,0.9,pride_and_prejudice_2,B2,7,monthly
116,0.050000000000000044,119.824389,posxvkqb,41,size,0.1,beyond_good_and_evil_1,C1,0,weekly
117,0.25,267.483039,posxvkqb,41,sel,0.9,crime_and_punishment_1,C1,0,weekly
118,0.25,292.280213,posxvkqb,41,mip,0.9,emma_1,C1,0,weekly
119,0.5,266.297251,posxvkqb,41,gpt4,0.1,pride_and_prejudice_2,C1,0,weekly
120,0.25,297.872869,jxlwadqz,42,sel,0.9,beyond_good_and_evil_1,C2,28,daily
121,0.09999999999999998,358.5118,jxlwadqz,42,size,0.1,crime_and_punishment_1,C2,28,daily
122,0.050000000000000044,219.790533,jxlwadqz,42,gpt4,0.9,emma_1,C2,28,daily
123,0.050000000000000044,40.041582,jxlwadqz,42,mip,0.1,pride_and_prejudice_2,C2,28,daily
124,0.30000000000000004,232.93053700000002,ftaupedv,43,sel,0.1,beyond_good_and_evil_1,C2,8,daily
125,0.4,184.853207,ftaupedv,43,mip,0.9,crime_and_punishment_1,C2,8,daily
126,0.25,274.052889,ftaupedv,43,size,0.1,emma_1,C2,8,daily
127,0.25,265.808985,ftaupedv,43,gpt4,0.9,pride_and_prejudice_2,C2,8,daily
128,0.25,156.816058,wjizvfyg,44,mip,0.9,beyond_good_and_evil_1,C1,8,weekly
129,0.4,142.405245,wjizvfyg,44,gpt4,0.1,crime_and_punishment_1,C1,8,weekly
130,0.4,108.643845,wjizvfyg,44,sel,0.1,emma_1,C1,8,weekly
131,0.25,131.122531,wjizvfyg,44,size,0.9,pride_and_prejudice_2,C1,8,weekly
132,0.050000000000000044,127.993206,imhfebuw,46,mip,0.1,beyond_good_and_evil_1,C1,10,weekly
133,0.19999999999999996,254.625256,imhfebuw,46,gpt4,0.9,crime_and_punishment_1,C1,10,weekly
134,0.25,387.736226,imhfebuw,46,sel,0.9,emma_1,C1,10,weekly
135,0.050000000000000044,66.144589,imhfebuw,46,size,0.1,pride_and_prejudice_2,C1,10,weekly
136,0.09999999999999998,217.071388,zlpkswfy,50,size,0.1,beyond_good_and_evil_1,B2,8,daily
137,0.09999999999999998,294.455935,zlpkswfy,50,sel,0.9,crime_and_punishment_1,B2,8,daily
138,0.30000000000000004,1098.120189,zlpkswfy,50,mip,0.9,emma_1,B2,8,daily
139,0.55,326.315433,zlpkswfy,50,gpt4,0.1,pride_and_prejudice_2,B2,8,daily
140,0.35,226.053126,pwtyqauz,52,gpt4,0.1,beyond_good_and_evil_1,C1,0,daily
141,0.35,215.331906,pwtyqauz,52,size,0.9,crime_and_punishment_1,C1,0,daily
142,0.09999999999999998,128.747566,pwtyqauz,52,mip,0.1,emma_1,C1,0,daily
143,0.30000000000000004,238.95805000000001,pwtyqauz,52,sel,0.9,pride_and_prejudice_2,C1,0,daily
144,0.09999999999999998,108.465519,twdzmjnl,53,sel,0.1,crime_and_punishment_1,C1,7,daily
145,0.09999999999999998,152.67601200000001,twdzmjnl,53,size,0.9,beyond_good_and_evil_1,C1,7,daily
146,0.19999999999999996,215.67684500000001,twdzmjnl,53,gpt4,0.1,emma_1,C1,7,daily
147,0.15000000000000002,149.124293,twdzmjnl,53,mip,0.9,pride_and_prejudice_2,C1,7,daily
148,0.4,458.510433,nsaqiebf,54,sel,0.1,beyond_good_and_evil_1,C1,7,weekly
149,0.5,271.099619,nsaqiebf,54,mip,0.9,crime_and_punishment_1,C1,7,weekly
150,0.30000000000000004,631.263514,nsaqiebf,54,size,0.1,emma_1,C1,7,weekly
151,0.25,408.299356,nsaqiebf,54,gpt4,0.9,pride_and_prejudice_2,C1,7,weekly
152,0.35,292.64616,qkdfjhgl,56,gpt4,0.9,beyond_good_and_evil_1,C2,22,daily
153,0.050000000000000044,67.783648,qkdfjhgl,56,mip,0.1,crime_and_punishment_1,C2,22,daily
154,0.19999999999999996,320.789054,qkdfjhgl,56,size,0.9,emma_1,C2,22,daily
155,0.050000000000000044,91.942418,qkdfjhgl,56,sel,0.1,pride_and_prejudice_2,C2,22,daily
156,0.25,395.141557,dkagnhte,58,sel,0.1,beyond_good_and_evil_1,C2,10,daily
157,0.15000000000000002,375.356802,dkagnhte,58,mip,0.9,crime_and_punishment_1,C2,10,daily
158,0.15000000000000002,331.798482,dkagnhte,58,size,0.1,emma_1,C2,10,daily
159,0.09999999999999998,226.197788,dkagnhte,58,gpt4,0.9,pride_and_prejudice_2,C2,10,daily
