index,feedback,time,user_key,user_idx,model,tau,text,cefr,years,frequency
0,4,240.922431,opkxflwu,2,sel,0.1,crime_and_punishment_1,C2,20,daily
1,5,195.614336,opkxflwu,2,size,0.9,beyond_good_and_evil_1,C2,20,daily
2,5,121.88484,opkxflwu,2,gpt4,0.1,emma_1,C2,20,daily
3,4,142.694761,opkxflwu,2,mip,0.9,pride_and_prejudice_2,C2,20,daily
4,4,181.747171,ebnztlym,5,size,0.1,beyond_good_and_evil_1,C1,0,never
5,4,299.286317,ebnztlym,5,sel,0.9,crime_and_punishment_1,C1,0,never
6,5,192.672358,ebnztlym,5,mip,0.9,emma_1,C1,0,never
7,4,272.414679,ebnztlym,5,gpt4,0.1,pride_and_prejudice_2,C1,0,never
8,5,711.815397,pwbezftu,6,sel,0.9,beyond_good_and_evil_1,C2,19,daily
9,2,134.252247,pwbezftu,6,size,0.1,crime_and_punishment_1,C2,19,daily
10,3,265.085287,pwbezftu,6,gpt4,0.9,emma_1,C2,19,daily
11,1,96.534582,pwbezftu,6,mip,0.1,pride_and_prejudice_2,C2,19,daily
12,4,288.539964,fhvxrcnq,8,mip,0.9,beyond_good_and_evil_1,C1,6,daily
13,4,390.203027,fhvxrcnq,8,gpt4,0.1,crime_and_punishment_1,C1,6,daily
14,2,201.15175,fhvxrcnq,8,size,0.9,pride_and_prejudice_2,C1,6,daily
15,3,102.16171800000001,fhvxrcnq,8,sel,0.1,emma_1,C1,6,daily
16,5,145.098197,adxzcbhu,10,gpt4,0.9,beyond_good_and_evil_1,C1,15,never
17,4,159.254766,adxzcbhu,10,mip,0.1,crime_and_punishment_1,C1,15,never
18,4,264.631341,adxzcbhu,10,size,0.9,emma_1,C1,15,never
19,3,91.993115,adxzcbhu,10,sel,0.1,pride_and_prejudice_2,C1,15,never
20,4,286.391613,jahgnxzl,11,gpt4,0.1,beyond_good_and_evil_1,C2,10,daily
21,4,285.801892,jahgnxzl,11,size,0.9,crime_and_punishment_1,C2,10,daily
22,2,108.4812,jahgnxzl,11,mip,0.1,emma_1,C2,10,daily
23,4,153.291751,jahgnxzl,11,sel,0.9,pride_and_prejudice_2,C2,10,daily
24,4,218.065269,uwyhmies,12,sel,0.1,crime_and_punishment_1,C2,9,daily
25,5,220.180858,uwyhmies,12,size,0.9,beyond_good_and_evil_1,C2,9,daily
26,5,258.420997,uwyhmies,12,gpt4,0.1,emma_1,C2,9,daily
27,3,132.693539,uwyhmies,12,mip,0.9,pride_and_prejudice_2,C2,9,daily
28,5,302.944495,mafiwhuq,14,sel,0.9,beyond_good_and_evil_1,C2,10,weekly
29,3,204.993026,mafiwhuq,14,size,0.1,crime_and_punishment_1,C2,10,weekly
30,4,221.487798,mafiwhuq,14,gpt4,0.9,emma_1,C2,10,weekly
31,3,132.436952,mafiwhuq,14,mip,0.1,pride_and_prejudice_2,C2,10,weekly
32,4,146.209454,owifhvgp,15,sel,0.1,beyond_good_and_evil_1,B2,5,daily
33,4,170.70011,owifhvgp,15,mip,0.9,crime_and_punishment_1,B2,5,daily
34,4,192.934108,owifhvgp,15,size,0.1,emma_1,B2,5,daily
35,3,208.53519,owifhvgp,15,gpt4,0.9,pride_and_prejudice_2,B2,5,daily
36,3,196.74416300000001,vqenszwi,16,mip,0.9,beyond_good_and_evil_1,C1,18,daily
37,4,209.595589,vqenszwi,16,gpt4,0.1,crime_and_punishment_1,C1,18,daily
38,3,190.878937,vqenszwi,16,sel,0.1,emma_1,C1,18,daily
39,4,192.731379,vqenszwi,16,size,0.9,pride_and_prejudice_2,C1,18,daily
40,4,199.492459,zaypiwjk,17,mip,0.1,beyond_good_and_evil_1,C2,10,daily
41,5,252.188927,zaypiwjk,17,gpt4,0.9,crime_and_punishment_1,C2,10,daily
42,4,296.672141,zaypiwjk,17,sel,0.9,emma_1,C2,10,daily
43,1,49.888106,zaypiwjk,17,size,0.1,pride_and_prejudice_2,C2,10,daily
44,4,766.167138,koclipas,18,gpt4,0.9,beyond_good_and_evil_1,C1,9,daily
45,1,59.537438,koclipas,18,mip,0.1,crime_and_punishment_1,C1,9,daily
46,5,826.646604,koclipas,18,size,0.9,emma_1,C1,9,daily
47,3,143.005435,koclipas,18,sel,0.1,pride_and_prejudice_2,C1,9,daily
48,4,162.355591,acbnlzew,19,gpt4,0.1,beyond_good_and_evil_1,C2,11,weekly
49,3,138.623914,acbnlzew,19,size,0.9,crime_and_punishment_1,C2,11,weekly
50,2,100.272532,acbnlzew,19,mip,0.1,emma_1,C2,11,weekly
51,3,159.85694999999998,acbnlzew,19,sel,0.9,pride_and_prejudice_2,C2,11,weekly
52,4,120.58499,zjaneipq,21,size,0.1,beyond_good_and_evil_1,C2,20,daily
53,4,190.286804,zjaneipq,21,sel,0.9,crime_and_punishment_1,C2,20,daily
54,5,182.120809,zjaneipq,21,mip,0.9,emma_1,C2,20,daily
55,5,272.292022,zjaneipq,21,gpt4,0.1,pride_and_prejudice_2,C2,20,daily
56,5,435.209643,gvqbaxhd,22,sel,0.9,beyond_good_and_evil_1,C1,8,daily
57,2,159.033291,gvqbaxhd,22,size,0.1,crime_and_punishment_1,C1,8,daily
58,4,363.979595,gvqbaxhd,22,gpt4,0.9,emma_1,C1,8,daily
59,3,211.257061,gvqbaxhd,22,mip,0.1,pride_and_prejudice_2,C1,8,daily
60,5,543.050562,otirjkxn,23,sel,0.1,beyond_good_and_evil_1,C1,15,weekly
61,4,498.442385,otirjkxn,23,mip,0.9,crime_and_punishment_1,C1,15,weekly
62,5,450.880464,otirjkxn,23,size,0.1,emma_1,C1,15,weekly
63,5,403.87333,otirjkxn,23,gpt4,0.9,pride_and_prejudice_2,C1,15,weekly
64,4,128.663311,bomaisjg,24,mip,0.9,beyond_good_and_evil_1,B1,0,daily
65,3,109.071118,bomaisjg,24,gpt4,0.1,crime_and_punishment_1,B1,0,daily
66,4,106.754915,bomaisjg,24,sel,0.1,emma_1,B1,0,daily
67,4,86.56257,bomaisjg,24,size,0.9,pride_and_prejudice_2,B1,0,daily
68,4,193.398204,cspntufl,26,gpt4,0.9,beyond_good_and_evil_1,C2,9,weekly
69,2,51.739303,cspntufl,26,mip,0.1,crime_and_punishment_1,C2,9,weekly
70,4,180.598617,cspntufl,26,size,0.9,emma_1,C2,9,weekly
71,2,122.067036,cspntufl,26,sel,0.1,pride_and_prejudice_2,C2,9,weekly
72,4,904.099984,auzcwlqt,27,gpt4,0.1,beyond_good_and_evil_1,C1,8,daily
73,2,333.651659,auzcwlqt,27,size,0.9,crime_and_punishment_1,C1,8,daily
74,3,319.73253,auzcwlqt,27,mip,0.1,emma_1,C1,8,daily
75,4,510.674374,auzcwlqt,27,sel,0.9,pride_and_prejudice_2,C1,8,daily
76,4,86.887722,tgxhlbwd,28,sel,0.1,crime_and_punishment_1,B2,4,daily
77,4,192.639796,tgxhlbwd,28,size,0.9,beyond_good_and_evil_1,B2,4,daily
78,4,200.99401699999999,tgxhlbwd,28,gpt4,0.1,emma_1,B2,4,daily
79,3,149.941717,tgxhlbwd,28,mip,0.9,pride_and_prejudice_2,B2,4,daily
80,3,280.196424,wensvipy,29,size,0.1,beyond_good_and_evil_1,B2,14,daily
81,4,384.989498,wensvipy,29,sel,0.9,crime_and_punishment_1,B2,14,daily
82,5,303.858544,wensvipy,29,mip,0.9,emma_1,B2,14,daily
83,5,359.55885,wensvipy,29,gpt4,0.1,pride_and_prejudice_2,B2,14,daily
84,4,539.85392,zynqvmxo,30,sel,0.9,beyond_good_and_evil_1,B2,9,never
85,3,316.098848,zynqvmxo,30,size,0.1,crime_and_punishment_1,B2,9,never
86,4,431.109522,zynqvmxo,30,gpt4,0.9,emma_1,B2,9,never
87,3,180.286897,zynqvmxo,30,mip,0.1,pride_and_prejudice_2,B2,9,never
88,3,166.16961,ytqwxekb,32,mip,0.9,beyond_good_and_evil_1,C2,25,daily
89,4,311.108753,ytqwxekb,32,gpt4,0.1,crime_and_punishment_1,C2,25,daily
90,4,228.777781,ytqwxekb,32,sel,0.1,emma_1,C2,25,daily
91,3,251.924877,ytqwxekb,32,size,0.9,pride_and_prejudice_2,C2,25,daily
92,4,232.973302,bpxcvkuz,33,mip,0.1,beyond_good_and_evil_1,B2,10,daily
93,4,349.523902,bpxcvkuz,33,gpt4,0.9,crime_and_punishment_1,B2,10,daily
94,5,363.033206,bpxcvkuz,33,sel,0.9,emma_1,B2,10,daily
95,2,89.145391,bpxcvkuz,33,size,0.1,pride_and_prejudice_2,B2,10,daily
96,3,173.57057600000002,siqchuxw,34,mip,0.1,beyond_good_and_evil_1,B2,8,daily
97,4,244.035066,siqchuxw,34,gpt4,0.9,crime_and_punishment_1,B2,8,daily
98,5,233.798905,siqchuxw,34,sel,0.9,emma_1,B2,8,daily
99,2,74.043042,siqchuxw,34,size,0.1,pride_and_prejudice_2,B2,8,daily
100,3,87.180037,vmxeyjit,36,mip,0.1,beyond_good_and_evil_1,C1,11,monthly
101,4,1369.0073668397467,vmxeyjit,36,gpt4,0.9,crime_and_punishment_1,C1,11,monthly
102,4,247.322147,vmxeyjit,36,sel,0.9,emma_1,C1,11,monthly
103,2,41.606932,vmxeyjit,36,size,0.1,pride_and_prejudice_2,C1,11,monthly
104,4,203.797143,szrdkouf,37,gpt4,0.9,beyond_good_and_evil_1,C2,10,daily
105,2,74.61619,szrdkouf,37,mip,0.1,crime_and_punishment_1,C2,10,daily
106,4,192.209182,szrdkouf,37,size,0.9,emma_1,C2,10,daily
107,3,159.689222,szrdkouf,37,sel,0.1,pride_and_prejudice_2,C2,10,daily
108,4,382.404326,kqhoalcb,38,gpt4,0.1,beyond_good_and_evil_1,B1,10,daily
109,4,506.110194,kqhoalcb,38,size,0.9,crime_and_punishment_1,B1,10,daily
110,3,348.985946,kqhoalcb,38,mip,0.1,emma_1,B1,10,daily
111,3,376.069528,kqhoalcb,38,sel,0.9,pride_and_prejudice_2,B1,10,daily
112,3,134.096366,kvdfpgea,40,sel,0.1,crime_and_punishment_1,B2,7,monthly
113,4,166.52007600000002,kvdfpgea,40,size,0.9,beyond_good_and_evil_1,B2,7,monthly
114,4,224.06613099999998,kvdfpgea,40,gpt4,0.1,emma_1,B2,7,monthly
115,3,200.54374,kvdfpgea,40,mip,0.9,pride_and_prejudice_2,B2,7,monthly
116,3,119.824389,mupgtefi,41,size,0.1,beyond_good_and_evil_1,C1,0,weekly
117,4,267.483039,mupgtefi,41,sel,0.9,crime_and_punishment_1,C1,0,weekly
118,5,292.280213,mupgtefi,41,mip,0.9,emma_1,C1,0,weekly
119,5,266.297251,mupgtefi,41,gpt4,0.1,pride_and_prejudice_2,C1,0,weekly
120,4,297.872869,phrbqayd,42,sel,0.9,beyond_good_and_evil_1,C2,28,daily
121,2,358.5118,phrbqayd,42,size,0.1,crime_and_punishment_1,C2,28,daily
122,3,219.790533,phrbqayd,42,gpt4,0.9,emma_1,C2,28,daily
123,1,40.041582,phrbqayd,42,mip,0.1,pride_and_prejudice_2,C2,28,daily
124,4,232.93053700000002,ieyvtukb,43,sel,0.1,beyond_good_and_evil_1,C2,8,daily
125,4,184.853207,ieyvtukb,43,mip,0.9,crime_and_punishment_1,C2,8,daily
126,4,274.052889,ieyvtukb,43,size,0.1,emma_1,C2,8,daily
127,5,265.808985,ieyvtukb,43,gpt4,0.9,pride_and_prejudice_2,C2,8,daily
128,4,156.816058,ckvnqrlw,44,mip,0.9,beyond_good_and_evil_1,C1,8,weekly
129,4,142.405245,ckvnqrlw,44,gpt4,0.1,crime_and_punishment_1,C1,8,weekly
130,4,108.643845,ckvnqrlw,44,sel,0.1,emma_1,C1,8,weekly
131,3,131.122531,ckvnqrlw,44,size,0.9,pride_and_prejudice_2,C1,8,weekly
132,3,127.993206,rglcwqhp,46,mip,0.1,beyond_good_and_evil_1,C1,10,weekly
133,4,254.625256,rglcwqhp,46,gpt4,0.9,crime_and_punishment_1,C1,10,weekly
134,5,387.736226,rglcwqhp,46,sel,0.9,emma_1,C1,10,weekly
135,1,66.144589,rglcwqhp,46,size,0.1,pride_and_prejudice_2,C1,10,weekly
136,3,217.071388,kwtcsgde,50,size,0.1,beyond_good_and_evil_1,B2,8,daily
137,4,294.455935,kwtcsgde,50,sel,0.9,crime_and_punishment_1,B2,8,daily
138,4,1098.120189,kwtcsgde,50,mip,0.9,emma_1,B2,8,daily
139,5,326.315433,kwtcsgde,50,gpt4,0.1,pride_and_prejudice_2,B2,8,daily
140,5,226.053126,typveqcb,52,gpt4,0.1,beyond_good_and_evil_1,C1,0,daily
141,4,215.331906,typveqcb,52,size,0.9,crime_and_punishment_1,C1,0,daily
142,3,128.747566,typveqcb,52,mip,0.1,emma_1,C1,0,daily
143,4,238.95805000000001,typveqcb,52,sel,0.9,pride_and_prejudice_2,C1,0,daily
144,3,108.465519,rwdpjaxq,53,sel,0.1,crime_and_punishment_1,C1,7,daily
145,3,152.67601200000001,rwdpjaxq,53,size,0.9,beyond_good_and_evil_1,C1,7,daily
146,4,215.67684500000001,rwdpjaxq,53,gpt4,0.1,emma_1,C1,7,daily
147,3,149.124293,rwdpjaxq,53,mip,0.9,pride_and_prejudice_2,C1,7,daily
148,4,458.510433,yztlbihp,54,sel,0.1,beyond_good_and_evil_1,C1,7,weekly
149,4,271.099619,yztlbihp,54,mip,0.9,crime_and_punishment_1,C1,7,weekly
150,5,631.263514,yztlbihp,54,size,0.1,emma_1,C1,7,weekly
151,4,408.299356,yztlbihp,54,gpt4,0.9,pride_and_prejudice_2,C1,7,weekly
152,4,292.64616,nryzuswq,56,gpt4,0.9,beyond_good_and_evil_1,C2,22,daily
153,1,67.783648,nryzuswq,56,mip,0.1,crime_and_punishment_1,C2,22,daily
154,4,320.789054,nryzuswq,56,size,0.9,emma_1,C2,22,daily
155,2,91.942418,nryzuswq,56,sel,0.1,pride_and_prejudice_2,C2,22,daily
156,4,395.141557,oyauqvxz,58,sel,0.1,beyond_good_and_evil_1,C2,10,daily
157,4,375.356802,oyauqvxz,58,mip,0.9,crime_and_punishment_1,C2,10,daily
158,4,331.798482,oyauqvxz,58,size,0.1,emma_1,C2,10,daily
159,3,226.197788,oyauqvxz,58,gpt4,0.9,pride_and_prejudice_2,C2,10,daily
